year       transistors
1997       3500000 
1999       8000000 
1999       15000000 
1999       23000000 
2000       20000000 
2000       25000000 
2000       30000000 
2001       57000000 
2001       60000000 
2002       63000000 
2002       107000000 
2003       117000000 
2003       135000000 
2004       160000000 
2004       222000000 
2005       303000000 
2005       321000000 
2006       384000000 
2006       681000000 
2007       700000000 
2007       754000000 
2008       959000000 
2008       1400000000 
2009       2154000000 
2010       2640000000 
2010       3200000000 
2010       3000000000 
2012       3540000000 
2011       4312711873 
2012       7080000000 
2013       6300000000 
2014       5200000000 
2015       8100000000 
2015       8900000000 
2016       7200000000 
2016       15300000000 
