cells    cpu15    cpu30    cpu75   cpu150   cpu300   gpu15    gpu30   gpu75  gpu150  gpu300
   64   0.0238   0.0222   0.0251   0.0262   0.0302   0.0738  0.0807  0.1527  0.2759  0.5317
  128   0.0364   0.0363   0.0398   0.0442   0.0506   0.0956  0.1102  0.1822  0.3040  0.5479
  256   0.0652   0.0665   0.0720   0.0862   0.0976   0.1232  0.1348  0.2051  0.3262  0.5940
  512   0.1239   0.1258   0.1370   0.1587   0.1865   0.1887  0.1838  0.2516  0.3778  0.6988
 1024   0.2410   0.2449   0.2646   0.3051   0.3502   0.2978  0.2820  0.3502  0.5092  0.8756
 2048   0.4765   0.4815   0.5112   0.5992   0.6894   0.5322  0.4823  0.5646  0.7483  1.1876
 4096   0.9462   0.9569   1.0291   1.1879   1.3644   1.0087  0.8753  0.9787  1.1940  1.6922
 8192   1.8517   1.8845   2.0285   2.3551   2.6973   1.9298  1.6815  1.7786  2.0327  2.6960
16384   3.6639   3.7284   4.0889   4.7544   5.3994   3.8057  3.2786  3.3118  3.6815  4.6486
32768   7.3078   7.4901   8.1703   9.3769  10.7758   7.5120  6.4230  6.4118  6.9971  8.5750
65536  14.7952  14.9855  16.3136  18.7406  21.4548  14.9965 12.8390 12.8239 14.0444 17.2689
