 sockets        sync       async
       1        8.53        7.41
       2        8.55        7.40
       4        8.56        7.41
       8        8.60        7.39
      16        8.67        7.40
      32        8.75        7.39
      64        8.89        7.42
     128        9.13        7.56
     256        9.50        7.96
     512       10.12        8.60
    1024       11.18        9.77
    2048       13.16       11.73
    4096       16.89       15.36
    8192       23.85       22.24
   16384       35.08       34.61
   32768       55.49       56.98
