 sockets         dry         mpi
       1        3.71        3.70
       2        3.78        3.80
       4        3.83        3.88
       8        3.89        3.93
      16        3.95        3.98
      32        4.02        4.03
      64        4.10        4.11
     128        4.14        4.16
     256        4.16         nan
     512        4.21         nan
    1024        4.23         nan
    2048        4.21         nan
    4096        4.18         nan
    8192        4.18         nan
   16384        4.19         nan
   32768        4.21         nan
