nodes   cells    mc_wall  mc_energy  gpu_wall gpu_energy
  1     8192     88.264      25.399  87.437     18.675
  2    16384     88.252      49.972  86.961     37.134
  4    32768     88.588     101.699  87.169     74.338
  8    65536     88.669     203.273  87.281    148.022
 16   131072     88.604     401.013  87.179    293.626
 32   262144     88.580     802.372  87.258    587.384
 64   524288     88.992    1582.114  87.384   1175.470
128  1048576     89.011    3111.859  88.116   2357.548
256  2097152      nan        nan     87.540   4713.741
512  4194304      nan        nan     87.911   9414.347
