groupsize   smallDDR  smallMCDRAM    smallCACHE   largeDDR   largeMCDRAM  largeCACHE
       1       3.895        3.801         3.915     24.953        24.997      25.473
       2       5.472        3.847         3.944     46.863        25.159      25.464
       3       8.127        4.158         4.288     59.721        26.270      26.989
       4      10.551        4.150         4.345     69.600        27.289      28.225
       5      12.729        5.048         4.978     78.124        28.829      29.648
       6      13.562        4.918         4.938     84.223        29.827      30.479
       7      15.182        5.722         5.526     89.545        30.422      30.752
       8      16.422        4.843         5.011     93.529        30.785      31.308
      10      16.823        5.921         6.003    102.047        33.791      34.428
      12      18.416        6.964         6.872    106.688        33.538      34.560
      14      21.463        7.813         7.716    109.988        33.409      34.542
      16      21.324        5.613         5.817    115.736        32.678      34.102
      20      21.301        6.590         6.670    121.028        37.240      38.227
      24      21.529        7.664         7.807    124.700        35.701      37.432
      28      22.226        8.857         9.064    127.543        39.367      41.122
      32      22.707        9.714         9.937    133.436        35.580      37.512
