   nodes         dry         mpi
       1        3.78        3.80
       2        3.83        3.88
       4        3.89        3.93
       8        3.95        3.98
      16        4.02        4.03
      32        4.10        4.11
      64        4.14        4.16
     128        4.16         nan
     256        4.21         nan
     512        4.23         nan
    1024        4.21         nan
    2048        4.18         nan
    4096        4.18         nan
    8192        4.19         nan
   16384        4.21         nan

