 nodes    gpusmallt   gpusmalle     gpubigt    gpubige  mcsmallt      mcsmalle   mcbigt     mcbige
   512        nan       nan          15.119   1373.755      nan         nan      13.456    1698.359
   256        nan       nan          25.544   1246.766      nan         nan      26.814    1741.663
   128       5.092     84.215        47.060   1194.562     2.221       57.044    51.722    1742.911
    64       6.422     59.661        89.812   1168.754     3.818       54.739   102.444    1768.525
    32       9.106     47.262       176.028   1158.940     7.181       55.084   204.026    1771.231
    16      14.372     40.900          nan        nan     13.669       55.667     nan        nan
     8      25.200     37.907          nan        nan     26.776       56.331     nan        nan
     4      46.643     36.848          nan        nan     52.841       57.233     nan        nan
     2      89.386     35.353          nan        nan    105.500       57.339     nan        nan
     1     174.377     34.576          nan        nan    210.623       58.056     nan        nan
