 nodes     gputime  mctime  gpuenergy  mcenergy
     1      41.067  43.849     7.959     11.742
     2      41.059  43.897    16.294     23.939
     4      41.073  43.931    32.310     47.881
     8      41.068  44.006    64.859     93.488
    16      41.211  44.601   131.340    191.124
    32      41.116  44.427   261.632    379.265
    64      41.176  44.728   521.869    748.828
   128      41.457  45.159  1042.847   1482.833
   256      42.136  45.851  2107.864   2990.339
   512      43.062  nan     4282.032     nan
  1024      44.504  nan     8745.523     nan
